trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2024-01-03,Thursday,1,up_sweep,Q3,2.0,0.0,True,False
2024-01-04,Friday,1,down_sweep,Q3,3.0,0.0,True,False
2024-01-09,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2024-01-31,Thursday,1,down_sweep,Q4,2.0,0.0,True,False
2024-02-08,Friday,1,down_sweep,Q1,2.0,0.0,True,False
2024-02-13,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2024-02-20,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2024-02-27,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2024-03-05,Wednesday,1,up_sweep,Q4,2.0,0.0,True,False
2024-03-19,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2024-04-02,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2024-04-10,Thursday,1,up_sweep,Q2,2.0,0.0,True,False
2024-04-11,Friday,1,down_sweep,Q1,3.0,0.0,True,False
2024-04-17,Thursday,1,up_sweep,Q3,2.0,0.0,True,False
2024-04-24,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2024-04-25,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2024-05-21,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2024-05-22,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-06-05,Thursday,1,up_sweep,Q3,2.0,0.0,True,False
2024-06-06,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2024-06-11,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2024-06-12,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-06-13,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2024-06-19,Thursday,1,down_sweep,Q1,2.0,0.0,True,False
2024-06-25,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2024-06-26,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2024-06-27,Friday,1,down_sweep,Q4,4.0,0.0,True,False
2024-07-09,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2024-07-17,Thursday,1,down_sweep,Q1,2.0,0.0,True,False
2024-08-01,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2024-08-07,Thursday,1,up_sweep,Q2,2.0,0.0,True,False
2024-08-08,Friday,1,up_sweep,Q2,3.0,0.0,True,False
2024-08-13,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2024-08-14,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-08-15,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2024-08-22,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2024-08-27,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2024-08-28,Thursday,1,up_sweep,Q3,3.0,0.0,True,False
2024-08-29,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2024-09-05,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2024-09-11,Thursday,1,up_sweep,Q1,2.0,0.0,True,False
2024-09-17,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2024-09-26,Friday,1,down_sweep,Q3,2.0,0.0,True,False
2024-10-01,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2024-10-02,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2024-10-03,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2024-10-08,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2024-10-09,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-10-10,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2024-10-16,Thursday,1,down_sweep,Q2,3.0,0.0,True,False
2024-10-17,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2024-11-07,Friday,1,down_sweep,Q4,2.0,0.0,True,False
2024-11-21,Friday,1,down_sweep,Q3,2.0,0.0,True,False
2024-11-27,Thursday,1,down_sweep,Q4,2.0,0.0,True,False
2024-12-03,Wednesday,1,up_sweep,Q4,2.0,0.0,True,False
2024-12-04,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2024-12-18,Thursday,1,up_sweep,Q4,2.0,0.0,True,False
2024-12-19,Friday,1,up_sweep,Q3,3.0,0.0,True,False
