trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2022-01-04,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-01-05,Thursday,1,down_sweep,Q2,3.0,0.0,True,False
2022-01-06,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2022-01-13,Friday,1,up_sweep,Q2,3.0,0.0,True,False
2022-01-25,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2022-02-08,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-02-15,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-02-16,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2022-02-17,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2022-03-01,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2022-03-02,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2022-03-08,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2022-03-15,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2022-03-29,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-04-19,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-04-21,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2022-04-28,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2022-05-03,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2022-05-10,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-05-11,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2022-05-12,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2022-05-19,Friday,1,up_sweep,Q2,2.0,0.0,True,False
2022-05-24,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2022-06-01,Thursday,1,up_sweep,Q2,2.0,0.0,True,False
2022-06-23,Friday,1,up_sweep,Q2,2.0,0.0,True,False
2022-06-28,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2022-06-29,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2022-06-30,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2022-07-05,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2022-07-06,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2022-07-07,Friday,1,down_sweep,Q4,4.0,0.0,True,False
2022-07-14,Friday,1,up_sweep,Q2,2.0,0.0,True,False
2022-07-20,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2022-07-21,Friday,1,down_sweep,Q4,4.0,0.0,True,False
2022-07-26,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2022-07-27,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2022-08-04,Friday,1,down_sweep,Q3,2.0,0.0,True,False
2022-08-09,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2022-08-10,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2022-08-17,Thursday,1,down_sweep,Q3,2.0,0.0,True,False
2022-08-23,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2022-08-24,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2022-08-25,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2022-08-30,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2022-08-31,Thursday,1,down_sweep,Q4,3.0,0.0,True,False
2022-09-01,Friday,1,up_sweep,Q2,4.0,0.0,True,False
2022-09-15,Friday,1,down_sweep,Q4,2.0,0.0,True,False
2022-10-04,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2022-10-19,Thursday,1,up_sweep,Q1,2.0,0.0,True,False
2022-11-01,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2022-11-08,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2022-11-09,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2022-11-10,Friday,1,up_sweep,Q4,4.0,0.0,True,False
2022-11-15,Wednesday,1,up_sweep,Q4,2.0,0.0,True,False
2022-11-29,Wednesday,1,up_sweep,Q4,2.0,0.0,True,False
2022-12-13,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2022-12-14,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2022-12-15,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2022-12-20,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2022-12-21,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2022-12-22,Friday,1,up_sweep,Q2,4.0,0.0,True,False
2022-12-28,Thursday,1,down_sweep,Q2,2.0,0.0,True,False
2022-12-29,Friday,1,down_sweep,Q1,3.0,0.0,True,False
