trading_day_id,dow,side,asia_quartile,tp_mode,tp_pips,rr_fixed,entry_time,entry_price,stop_price,take_profit,exit_time,exit_price,exit_reason,r_multiple,mfe_R,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2022-01-04,Wednesday,up_sweep,Q1,auto,17.5,1.5,2022-01-05 01:00:00,1.12944,1.1282733333333332,1.13119,2022-01-05 03:59:00,1.13028,time,0.7199999999999587,1.4142857142856535,2.0,0.0,True,False
2022-01-05,Thursday,down_sweep,Q2,auto,16.099999999997998,1.5,2022-01-06 01:14:00,1.13042,1.1314933333333332,1.12881,2022-01-06 02:15:00,1.12881,TP,1.5,1.835403726708328,3.0,0.0,True,False
2022-01-06,Friday,up_sweep,Q1,auto,17.5,1.5,2022-01-07 01:00:00,1.13026,1.1290933333333333,1.13201,2022-01-07 03:59:00,1.13121,time,0.8142857142857197,1.0800000000000332,4.0,0.0,True,False
2022-01-13,Friday,up_sweep,Q2,auto,16.099999999997998,1.5,2022-01-14 01:57:00,1.14695,1.1458766666666667,1.1485599999999998,2022-01-14 03:59:00,1.14681,time,-0.130434782608532,0.4751552795031744,3.0,0.0,True,False
2022-01-25,Wednesday,down_sweep,Q1,auto,17.5,1.5,2022-01-26 01:38:00,1.13008,1.1312466666666667,1.12833,2022-01-26 03:59:00,1.1288,time,1.0971428571428123,1.4228571428571384,2.0,0.0,True,False
2022-02-08,Wednesday,up_sweep,Q1,auto,17.5,1.5,2022-02-09 01:01:00,1.14237,1.1412033333333333,1.14412,2022-02-09 02:26:00,1.1412033333333333,SL,-1.0,0.34285714285710506,2.0,0.0,True,False
2022-02-15,Wednesday,up_sweep,Q1,auto,17.5,1.5,2022-02-16 01:31:00,1.13608,1.1349133333333332,1.13783,2022-02-16 02:42:00,1.13783,TP,1.5,2.957142857142817,2.0,0.0,True,False
2022-02-16,Thursday,down_sweep,Q1,auto,17.5,1.5,2022-02-17 01:29:00,1.13716,1.1383266666666667,1.13541,2022-02-17 01:29:00,1.13541,TP,1.5,1.894285714285753,3.0,0.0,True,False
2022-02-17,Friday,up_sweep,Q1,auto,17.5,1.5,2022-02-18 01:52:00,1.13714,1.1359733333333333,1.13889,2022-02-18 03:59:00,1.13755,time,0.3514285714285898,0.4714285714286146,4.0,0.0,True,False
2022-03-01,Wednesday,down_sweep,Q2,auto,16.099999999997998,1.5,2022-03-02 01:00:00,1.11168,1.1127533333333333,1.1100700000000001,2022-03-02 01:45:00,1.1100700000000001,TP,1.5,3.4658385093171504,2.0,0.0,True,False
2022-03-02,Thursday,down_sweep,Q3,auto,22.8,1.5,2022-03-03 01:31:00,1.10937,1.11089,1.10709,2022-03-03 03:59:00,1.10911,time,0.17105263157889927,0.7434210526316284,3.0,0.0,True,False
2022-03-08,Wednesday,up_sweep,Q3,auto,22.8,1.5,2022-03-09 01:08:00,1.092,1.0904800000000001,1.0942800000000001,2022-03-09 03:25:00,1.0942800000000001,TP,1.5,2.3684210526314637,2.0,0.0,True,False
2022-03-15,Wednesday,up_sweep,Q2,auto,16.099999999997998,1.5,2022-03-16 01:02:00,1.0974,1.0963266666666667,1.0990099999999998,2022-03-16 02:36:00,1.0963266666666667,SL,-1.0,2.88819875776443,2.0,0.0,True,False
2022-03-29,Wednesday,up_sweep,Q1,auto,17.5,1.5,2022-03-30 01:00:00,1.111,1.1098333333333332,1.11275,2022-03-30 03:08:00,1.11275,TP,1.5,2.100000000000054,2.0,0.0,True,False
2022-04-19,Wednesday,up_sweep,Q1,auto,17.5,1.5,2022-04-20 01:00:00,1.08189,1.0807233333333333,1.08364,2022-04-20 03:10:00,1.0807233333333333,SL,-1.0,0.09428571428576099,2.0,0.0,True,False
2022-04-21,Friday,up_sweep,Q1,auto,17.5,1.5,2022-04-22 01:00:00,1.08454,1.0833733333333333,1.08629,2022-04-22 02:51:00,1.0833733333333333,SL,-1.0,0.5228571428571424,4.0,0.0,True,False
2022-04-28,Friday,up_sweep,Q3,auto,22.8,1.5,2022-04-29 01:00:00,1.05195,1.05043,1.05423,2022-04-29 02:16:00,1.05423,TP,1.5,3.881578947368431,2.0,0.0,True,False
2022-05-03,Wednesday,down_sweep,Q2,auto,16.099999999997998,1.5,2022-05-04 01:08:00,1.05168,1.0527533333333332,1.05007,2022-05-04 03:04:00,1.0527533333333332,SL,-1.0,1.0155279503107182,2.0,0.0,True,False
2022-05-10,Wednesday,up_sweep,Q1,auto,17.5,1.5,2022-05-11 02:14:00,1.05395,1.0527833333333332,1.0556999999999999,2022-05-11 03:14:00,1.0556999999999999,TP,1.5,1.8171428571429613,2.0,0.0,True,False
2022-05-11,Thursday,down_sweep,Q3,auto,22.8,1.5,2022-05-12 01:38:00,1.05067,1.05219,1.04839,2022-05-12 03:12:00,1.04839,TP,1.5,4.197368421052665,3.0,0.0,True,False
2022-05-12,Friday,up_sweep,Q1,auto,17.5,1.5,2022-05-13 02:17:00,1.03876,1.0375933333333331,1.0405099999999998,2022-05-13 02:53:00,1.0405099999999998,TP,1.5,2.7342857142857366,4.0,0.0,True,False
2022-05-19,Friday,up_sweep,Q2,auto,16.099999999997998,1.5,2022-05-20 01:35:00,1.05837,1.0572966666666668,1.05998,2022-05-20 03:19:00,1.0572966666666668,SL,-1.0,0.9037267080745677,2.0,0.0,True,False
2022-05-24,Wednesday,down_sweep,Q3,auto,22.8,1.5,2022-05-25 01:00:00,1.07056,1.07208,1.06828,2022-05-25 03:08:00,1.06828,TP,1.5,1.5657894736842424,2.0,0.0,True,False
2022-06-01,Thursday,up_sweep,Q2,auto,16.099999999997998,1.5,2022-06-02 01:51:00,1.06622,1.0651466666666667,1.0678299999999998,2022-06-02 02:56:00,1.0678299999999998,TP,1.5,2.7763975155282794,2.0,0.0,True,False
2022-06-23,Friday,up_sweep,Q2,auto,16.099999999997998,1.5,2022-06-24 03:11:00,1.05291,1.0518366666666668,1.05452,2022-06-24 03:59:00,1.05234,time,-0.5310559006211463,0.4378881987577909,2.0,0.0,True,False
2022-06-28,Wednesday,down_sweep,Q1,auto,17.5,1.5,2022-06-29 03:00:00,1.05082,1.0519866666666668,1.0490700000000002,2022-06-29 03:00:00,1.0490700000000002,TP,1.5,1.6114285714286603,2.0,0.0,True,False
2022-06-29,Thursday,up_sweep,Q1,auto,17.5,1.5,2022-06-30 01:33:00,1.04506,1.0438933333333333,1.04681,2022-06-30 02:38:00,1.04681,TP,1.5,1.5428571428569728,3.0,0.0,True,False
2022-06-30,Friday,down_sweep,Q1,auto,17.5,1.5,2022-07-01 01:46:00,1.04644,1.0476066666666668,1.0446900000000001,2022-07-01 02:36:00,1.0446900000000001,TP,1.5,2.725714285714252,4.0,0.0,True,False
2022-07-05,Wednesday,down_sweep,Q2,auto,16.099999999997998,1.5,2022-07-06 01:14:00,1.02512,1.0261933333333333,1.0235100000000001,2022-07-06 02:41:00,1.0261933333333333,SL,-1.0,1.2018633540374288,2.0,0.0,True,False
