trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2024-01-04,Friday,1,down_sweep,Q3,3.0,0.0,True,False
2024-04-11,Friday,1,down_sweep,Q1,3.0,0.0,True,False
2024-05-22,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-06-06,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2024-06-12,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-06-13,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2024-06-26,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2024-06-27,Friday,1,down_sweep,Q4,4.0,0.0,True,False
2024-08-14,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-08-15,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2024-08-28,Thursday,1,up_sweep,Q3,3.0,0.0,True,False
2024-08-29,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2024-09-05,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2024-10-02,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2024-10-03,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2024-10-09,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2024-10-10,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2024-10-17,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2024-12-19,Friday,1,up_sweep,Q3,3.0,0.0,True,False
