trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2019-01-16,Thursday,1,down_sweep,Q2,2.0,0.0,True,False
2019-01-23,Thursday,1,down_sweep,Q3,2.0,0.0,True,False
2019-01-24,Friday,1,up_sweep,Q3,3.0,0.0,True,False
2019-01-31,Friday,1,down_sweep,Q4,2.0,0.0,True,False
2019-02-12,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2019-02-19,Wednesday,1,down_sweep,Q4,2.0,0.0,True,False
2019-02-20,Thursday,1,down_sweep,Q4,3.0,0.0,True,False
2019-02-21,Friday,1,up_sweep,Q3,4.0,0.0,True,False
2019-02-26,Wednesday,1,down_sweep,Q4,2.0,0.0,True,False
2019-02-28,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2019-03-05,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2019-03-06,Thursday,1,down_sweep,Q2,3.0,0.0,True,False
2019-03-07,Friday,1,up_sweep,Q4,4.0,0.0,True,False
2019-03-13,Thursday,1,down_sweep,Q3,2.0,0.0,True,False
2019-03-20,Thursday,1,down_sweep,Q4,3.0,0.0,True,False
2019-03-21,Friday,1,up_sweep,Q4,4.0,0.0,True,False
2019-03-28,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2019-04-16,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2019-04-17,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2019-04-18,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2019-04-24,Thursday,1,up_sweep,Q4,2.0,0.0,True,False
2019-04-25,Friday,1,up_sweep,Q4,3.0,0.0,True,False
2019-05-01,Thursday,1,up_sweep,Q2,2.0,0.0,True,False
2019-05-16,Friday,1,up_sweep,Q1,2.0,0.0,True,False
2019-05-21,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2019-05-22,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2019-05-28,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2019-05-29,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2019-05-30,Friday,1,down_sweep,Q4,4.0,0.0,True,False
2019-06-04,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2019-06-05,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2019-06-06,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2019-06-11,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2019-06-12,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2019-06-13,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2019-06-18,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2019-06-26,Thursday,1,down_sweep,Q1,2.0,0.0,True,False
2019-07-02,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2019-07-03,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2019-07-04,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2019-07-09,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2019-07-16,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2019-08-08,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2019-08-13,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2019-08-14,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2019-08-21,Thursday,1,down_sweep,Q2,3.0,0.0,True,False
2019-08-22,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2019-08-27,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2019-09-19,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2019-09-24,Wednesday,1,down_sweep,Q4,2.0,0.0,True,False
2019-09-25,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2019-10-16,Thursday,1,down_sweep,Q4,3.0,0.0,True,False
2019-10-17,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2019-10-22,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2019-10-23,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2019-10-24,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2019-10-29,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2019-11-05,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2019-11-13,Thursday,1,down_sweep,Q2,2.0,0.0,True,False
2019-11-21,Friday,1,up_sweep,Q1,2.0,0.0,True,False
2019-11-26,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2019-11-27,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2019-12-03,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2019-12-10,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2019-12-11,Thursday,1,up_sweep,Q3,3.0,0.0,True,False
2019-12-19,Friday,1,down_sweep,Q2,2.0,0.0,True,False
