trading_day_id,asia_high,asia_low,asia_range,asia_range_pips
2020-01-01,1.12244,1.12157,0.0008700000000001484,8.700000000001484
2020-01-02,1.11784,1.11698,0.0008599999999998609,8.599999999998609
2020-01-05,1.11685,1.116,0.0008499999999997954,8.499999999997954
2020-01-06,1.1197,1.11891,0.0007899999999998464,7.899999999998464
2020-01-07,1.11682,1.11525,0.0015699999999998493,15.699999999998493
2020-01-08,1.11195,1.11091,0.0010399999999999299,10.399999999999299
2020-01-09,1.11094,1.1102,0.0007399999999999629,7.399999999999629
2020-01-12,1.11214,1.11159,0.0005499999999998284,5.499999999998284
2020-01-13,1.11421,1.11312,0.0010899999999998133,10.899999999998133
2020-01-14,1.11311,1.1127,0.00041000000000002146,4.100000000000215
2020-01-15,1.1158,1.11523,0.0005699999999999594,5.699999999999594
2020-01-16,1.11392,1.11339,0.0005299999999999194,5.299999999999194
2020-01-19,1.10985,1.10924,0.0006099999999999994,6.099999999999994
2020-01-20,1.10968,1.10887,0.0008099999999999774,8.099999999999774
2020-01-21,1.10868,1.10776,0.0009200000000000319,9.200000000000319
2020-01-22,1.10996,1.10797,0.0019900000000001583,19.900000000001583
2020-01-23,1.10556,1.10506,0.000500000000000167,5.00000000000167
2020-01-26,1.10348,1.10245,0.0010300000000000864,10.300000000000864
2020-01-27,1.10252,1.10172,0.0007999999999999119,7.999999999999119
2020-01-28,1.10276,1.10159,0.0011699999999998933,11.699999999998933
2020-01-29,1.10171,1.1011,0.0006099999999999994,6.099999999999994
2020-01-30,1.10336,1.10266,0.0006999999999999229,6.999999999999229
2020-02-02,1.1089,1.10799,0.0009099999999999664,9.099999999999664
2020-02-03,1.10641,1.10592,0.0004899999999998794,4.899999999998794
2020-02-04,1.10449,1.10397,0.000520000000000076,5.20000000000076
2020-02-05,1.10005,1.09943,0.0006200000000000649,6.200000000000649
2020-02-06,1.09831,1.09776,0.0005499999999998284,5.499999999998284
2020-02-09,1.09532,1.0948,0.000520000000000076,5.20000000000076
2020-02-10,1.09152,1.09078,0.0007399999999999629,7.399999999999629
