trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny,asia_range_pct_20d,ny_range_pct_20d,compression_flag,imbalance_score
2024-03-25,Monday,1,up_sweep,Q3,0.0,1.0,False,True,55.00000000000001,0.0,True,0.2255639097744022
2024-03-26,Tuesday,2,up_sweep,Q4,0.0,2.0,False,True,75.0,45.0,False,0.12091503267973003
2024-03-27,Wednesday,1,up_sweep,Q4,0.0,3.0,False,True,75.0,10.0,True,0.15384615384619138
2024-03-28,Thursday,1,down_sweep,Q4,0.0,4.0,False,True,85.0,55.00000000000001,False,0.2573099415204671
2024-03-31,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-04-01,Monday,1,down_sweep,Q3,1.0,0.0,True,False,40.0,85.0,False,0.0
2024-04-02,Tuesday,1,up_sweep,Q1,2.0,0.0,True,False,0.0,50.0,True,-0.22222222222227409
2024-04-03,Wednesday,1,up_sweep,Q3,0.0,1.0,False,True,35.0,90.0,False,0.10344827586208456
2024-04-04,Thursday,1,down_sweep,Q3,1.0,0.0,True,False,50.0,65.0,False,-0.03926096997690662
2024-04-07,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-04-08,Monday,1,down_sweep,Q1,0.0,1.0,False,True,5.0,55.00000000000001,True,0.03988603988604926
2024-04-09,Tuesday,1,down_sweep,Q1,1.0,0.0,True,False,0.0,60.0,True,-0.19839142091151762
2024-04-10,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False,25.0,100.0,False,-0.07100149476831166
2024-04-11,Thursday,1,down_sweep,Q1,3.0,0.0,True,False,10.0,80.0,True,-0.4055944055944268
2024-04-14,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-04-15,Monday,1,down_sweep,Q3,0.0,1.0,False,True,80.0,65.0,False,0.054320987654291615
2024-04-16,Tuesday,1,down_sweep,Q2,1.0,0.0,True,False,40.0,80.0,False,-0.30666666666664694
2024-04-17,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False,65.0,70.0,False,-0.11895161290324223
2024-04-18,Thursday,1,down_sweep,Q2,0.0,1.0,False,True,45.0,25.0,False,0.17987804878045044
2024-04-21,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-04-22,Monday,1,down_sweep,Q1,1.0,0.0,True,False,20.0,45.0,True,-0.04076086956524166
2024-04-23,Tuesday,2,down_sweep,Q4,2.0,0.0,True,False,80.0,70.0,False,-0.011718750000033373
2024-04-24,Wednesday,1,up_sweep,Q2,3.0,0.0,True,False,30.0,10.0,True,-0.0699300699301378
2024-04-25,Thursday,1,down_sweep,Q2,4.0,0.0,True,False,30.0,90.0,False,-0.16155088852987126
2024-04-28,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-04-29,Monday,1,down_sweep,Q3,1.0,0.0,True,False,65.0,50.0,False,-0.26463104325703685
2024-04-30,Tuesday,1,down_sweep,Q3,0.0,1.0,False,True,75.0,65.0,False,0.2751004016064007
2024-05-01,Wednesday,1,up_sweep,Q2,1.0,0.0,True,False,50.0,90.0,False,-0.23424878836835875
2024-05-02,Thursday,1,up_sweep,Q2,0.0,1.0,False,True,25.0,75.0,False,0.024999999999965307
2024-05-05,Sunday,3,up_sweep,Q4,,,,,,,False,
2024-05-06,Monday,1,down_sweep,Q3,0.0,1.0,False,True,90.0,0.0,True,0.024896265560144567
2024-05-07,Tuesday,1,down_sweep,Q2,0.0,2.0,False,True,25.0,40.0,False,0.022784810126619707
2024-05-08,Wednesday,1,down_sweep,Q2,1.0,0.0,True,False,20.0,0.0,True,-0.1468926553672047
2024-05-09,Thursday,1,down_sweep,Q3,0.0,1.0,False,True,65.0,65.0,False,0.015779092702141204
2024-05-12,Sunday,2,up_sweep,Q4,,,,,,,False,
2024-05-13,Monday,1,down_sweep,Q2,0.0,1.0,False,True,55.00000000000001,5.0,True,0.06965174129354443
2024-05-14,Tuesday,1,up_sweep,Q1,1.0,0.0,True,False,5.0,85.0,True,-0.13458262350938038
2024-05-15,Wednesday,1,down_sweep,Q2,0.0,1.0,False,True,55.00000000000001,70.0,False,0.22181146025880014
2024-05-16,Thursday,1,down_sweep,Q3,1.0,0.0,True,False,75.0,10.0,True,-0.25352112676056043
2024-05-19,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-05-20,Monday,2,up_sweep,Q1,1.0,0.0,True,False,5.0,0.0,True,-0.14457831325302334
2024-05-21,Tuesday,1,down_sweep,Q1,2.0,0.0,True,False,10.0,10.0,True,-0.099476439790526
2024-05-22,Wednesday,1,down_sweep,Q1,3.0,0.0,True,False,0.0,35.0,True,-0.22711864406785376
2024-05-23,Thursday,2,up_sweep,Q2,4.0,0.0,True,False,40.0,85.0,False,-0.04804270462633353
2024-05-26,Sunday,2,down_sweep,Q4,,,,,,,False,
2024-05-27,Monday,1,up_sweep,Q3,0.0,1.0,False,True,90.0,5.0,True,0.36363636363635216
2024-05-28,Tuesday,1,down_sweep,Q3,0.0,2.0,False,True,80.0,35.0,False,0.28906249999997224
2024-05-29,Wednesday,1,down_sweep,Q2,0.0,3.0,False,True,25.0,75.0,False,0.08438061041291996
2024-05-30,Thursday,1,down_sweep,Q1,1.0,0.0,True,False,0.0,45.0,True,-0.38926174496646193
2024-06-02,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-06-03,Monday,1,down_sweep,Q3,0.0,1.0,False,True,95.0,90.0,False,0.27902946273827983
2024-06-04,Tuesday,1,down_sweep,Q2,1.0,0.0,True,False,50.0,40.0,False,-0.0664062499999983
2024-06-05,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False,90.0,55.00000000000001,False,-0.2479784366576837
2024-06-06,Thursday,1,up_sweep,Q1,3.0,0.0,True,False,25.0,55.00000000000001,False,-0.3079470198675796
2024-06-09,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-06-10,Monday,1,up_sweep,Q1,1.0,0.0,True,False,0.0,60.0,True,-0.009259259259251645
2024-06-11,Tuesday,1,up_sweep,Q1,2.0,0.0,True,False,35.0,50.0,False,-0.26421404682268684
2024-06-12,Wednesday,1,down_sweep,Q1,3.0,0.0,True,False,20.0,100.0,True,-0.4229432213209695
2024-06-13,Thursday,1,down_sweep,Q1,4.0,0.0,True,False,15.0,95.0,True,-0.040767386091127865
2024-06-16,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-06-17,Monday,1,down_sweep,Q1,0.0,1.0,False,True,45.0,55.00000000000001,False,0.10389610389613667
2024-06-18,Tuesday,1,down_sweep,Q1,1.0,0.0,True,False,10.0,65.0,True,-0.4285714285714486
2024-06-19,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False,0.0,0.0,True,-0.2020202020201703
2024-06-20,Thursday,1,up_sweep,Q1,0.0,1.0,False,True,40.0,35.0,False,0.051094890510960146
2024-06-23,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-06-24,Monday,1,up_sweep,Q1,1.0,0.0,True,False,30.0,20.0,True,-0.36213991769548004
2024-06-25,Tuesday,1,down_sweep,Q1,2.0,0.0,True,False,60.0,30.0,False,-0.18587360594792932
2024-06-26,Wednesday,1,up_sweep,Q1,3.0,0.0,True,False,30.0,45.0,False,-0.3691275167785595
2024-06-27,Thursday,1,down_sweep,Q4,4.0,0.0,True,False,100.0,35.0,False,-0.02033898305083011
2024-06-30,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-07-01,Monday,1,down_sweep,Q1,1.0,0.0,True,False,40.0,80.0,False,-0.2679999999999851
2024-07-02,Tuesday,1,down_sweep,Q2,0.0,1.0,False,True,75.0,5.0,True,0.31877729257648485
2024-07-03,Wednesday,1,down_sweep,Q1,1.0,0.0,True,False,45.0,80.0,False,-0.44379844961242276
2024-07-04,Thursday,1,up_sweep,Q3,0.0,1.0,False,True,85.0,5.0,True,0.21578947368422036
2024-07-07,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-07-08,Monday,2,down_sweep,Q2,1.0,0.0,True,False,80.0,10.0,True,-0.1409691629955404
2024-07-09,Tuesday,1,up_sweep,Q1,2.0,0.0,True,False,40.0,15.0,True,-0.25
2024-07-10,Wednesday,1,up_sweep,Q1,0.0,1.0,False,True,55.00000000000001,5.0,True,0.5901639344260923
2024-07-11,Thursday,2,down_sweep,Q3,1.0,0.0,True,False,95.0,90.0,False,-0.35543278084714014
2024-07-14,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-07-15,Monday,1,down_sweep,Q2,0.0,1.0,False,True,80.0,45.0,False,0.07931034482764905
2024-07-16,Tuesday,1,up_sweep,Q2,1.0,0.0,True,False,70.0,70.0,False,0.0
2024-07-17,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False,5.0,35.0,True,-0.2880658436213755
2024-07-18,Thursday,1,down_sweep,Q3,0.0,1.0,False,True,95.0,75.0,False,0.06221198156681839
2024-07-21,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-07-22,Monday,2,down_sweep,Q1,0.0,1.0,False,True,30.0,10.0,True,0.03743315508022089
2024-07-23,Tuesday,1,up_sweep,Q1,1.0,0.0,True,False,60.0,10.0,True,-0.10227272727275451
2024-07-24,Wednesday,1,up_sweep,Q1,0.0,1.0,False,True,50.0,75.0,False,0.03278688524589806
2024-07-25,Thursday,1,up_sweep,Q2,1.0,0.0,True,False,80.0,80.0,False,-0.36523929471033295
2024-07-28,Sunday,3,down_sweep,Q4,,,,,,,False,
2024-07-29,Monday,1,up_sweep,Q2,1.0,0.0,True,False,55.00000000000001,35.0,False,-0.16017316017314978
2024-07-30,Tuesday,1,up_sweep,Q2,0.0,1.0,False,True,60.0,20.0,True,0.12371134020619147
2024-07-31,Wednesday,2,down_sweep,Q2,1.0,0.0,True,False,75.0,85.0,False,-0.4071729957805909
2024-08-01,Thursday,1,up_sweep,Q3,2.0,0.0,True,False,90.0,70.0,False,-0.04210526315787813
2024-08-04,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-08-05,Monday,2,down_sweep,Q4,0.0,1.0,False,True,100.0,100.0,False,0.05681818181815601
2024-08-06,Tuesday,1,down_sweep,Q2,1.0,0.0,True,False,50.0,55.00000000000001,False,-0.1423841059602408
2024-08-07,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False,65.0,40.0,False,-0.11570247933886268
2024-08-08,Thursday,1,up_sweep,Q2,3.0,0.0,True,False,60.0,90.0,False,-0.20711297071126966
2024-08-11,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-08-12,Monday,1,up_sweep,Q2,1.0,0.0,True,False,40.0,35.0,False,-0.12448132780081497
2024-08-13,Tuesday,1,down_sweep,Q1,2.0,0.0,True,False,30.0,100.0,False,-0.016689847009752366
2024-08-14,Wednesday,1,down_sweep,Q1,3.0,0.0,True,False,5.0,75.0,True,-0.1221198156681839
2024-08-15,Thursday,1,up_sweep,Q1,4.0,0.0,True,False,15.0,95.0,True,-0.34894991922455065
2024-08-18,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-08-19,Monday,1,down_sweep,Q2,0.0,1.0,False,True,50.0,85.0,False,0.0142348754448542
2024-08-20,Tuesday,1,down_sweep,Q2,0.0,2.0,False,True,55.00000000000001,70.0,False,0.11529933481154642
2024-08-21,Wednesday,1,down_sweep,Q4,1.0,0.0,True,False,95.0,100.0,False,-0.21390374331551612
2024-08-22,Thursday,1,up_sweep,Q3,2.0,0.0,True,False,80.0,65.0,False,-0.33037694013303476
2024-08-25,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-08-26,Monday,1,up_sweep,Q2,1.0,0.0,True,False,50.0,30.0,False,-0.32986111111111405
2024-08-27,Tuesday,1,down_sweep,Q3,2.0,0.0,True,False,85.0,50.0,False,-0.1485148514851855
2024-08-28,Wednesday,1,up_sweep,Q3,3.0,0.0,True,False,80.0,35.0,False,-0.16207951070334503
2024-08-29,Thursday,1,down_sweep,Q1,4.0,0.0,True,False,0.0,50.0,True,-0.34761904761905316
2024-09-01,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-09-02,Monday,1,down_sweep,Q3,0.0,1.0,False,True,80.0,0.0,True,0.08661417322839739
2024-09-03,Tuesday,1,up_sweep,Q1,1.0,0.0,True,False,15.0,50.0,True,-0.41686182669786753
2024-09-04,Wednesday,2,up_sweep,Q3,2.0,0.0,True,False,75.0,75.0,False,-0.18014705882352955
2024-09-05,Thursday,1,up_sweep,Q1,3.0,0.0,True,False,15.0,35.0,True,-0.005194805194781675
2024-09-08,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-09-09,Monday,1,up_sweep,Q3,0.0,1.0,False,True,85.0,5.0,True,0.2908163265305972
2024-09-10,Tuesday,1,up_sweep,Q2,1.0,0.0,True,False,30.0,10.0,True,-0.07575757575761993
2024-09-11,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False,30.0,40.0,False,-0.09925558312654048
2024-09-12,Thursday,3,up_sweep,Q4,0.0,1.0,False,True,100.0,85.0,False,0.2599337748344565
2024-09-15,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-09-16,Monday,2,up_sweep,Q3,1.0,0.0,True,False,60.0,15.0,True,-0.27570093457947753
2024-09-17,Tuesday,1,down_sweep,Q3,2.0,0.0,True,False,90.0,30.0,False,-0.21406727828749916
2024-09-18,Wednesday,1,up_sweep,Q4,0.0,1.0,False,True,100.0,100.0,False,0.19243243243244526
2024-09-19,Thursday,1,up_sweep,Q1,1.0,0.0,True,False,5.0,70.0,True,-0.12256809338523594
2024-09-22,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-09-23,Monday,1,up_sweep,Q3,0.0,1.0,False,True,50.0,25.0,False,0.23809523809524816
2024-09-24,Tuesday,1,up_sweep,Q3,0.0,2.0,False,True,85.0,65.0,False,0.3882618510158446
2024-09-25,Wednesday,1,up_sweep,Q2,1.0,0.0,True,False,35.0,100.0,False,-0.08108108108108432
2024-09-26,Thursday,1,down_sweep,Q3,2.0,0.0,True,False,55.00000000000001,90.0,False,-0.1839622641509289
2024-09-29,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-09-30,Monday,1,up_sweep,Q4,1.0,0.0,True,False,90.0,90.0,False,-0.17131979695433575
2024-10-01,Tuesday,1,down_sweep,Q2,2.0,0.0,True,False,35.0,50.0,False,-0.3634146341463745
2024-10-02,Wednesday,1,down_sweep,Q3,3.0,0.0,True,False,75.0,35.0,False,-0.1419939577039218
2024-10-03,Thursday,1,down_sweep,Q1,4.0,0.0,True,False,20.0,40.0,True,-0.18911917098447728
2024-10-06,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-10-07,Monday,1,up_sweep,Q3,1.0,0.0,True,False,70.0,15.0,True,-0.1374407582938937
2024-10-08,Tuesday,1,down_sweep,Q2,2.0,0.0,True,False,30.0,20.0,True,-0.12987012987011365
2024-10-09,Wednesday,1,down_sweep,Q1,3.0,0.0,True,False,0.0,25.0,True,-0.11016949152539662
2024-10-10,Thursday,1,up_sweep,Q1,4.0,0.0,True,False,10.0,75.0,True,-0.3102189781022001
2024-10-13,Sunday,2,up_sweep,Q4,,,,,,,False,
2024-10-14,Monday,1,down_sweep,Q1,1.0,0.0,True,False,15.0,50.0,True,-0.40664961636829616
2024-10-15,Tuesday,1,up_sweep,Q2,2.0,0.0,True,False,45.0,40.0,False,-0.0057471264367555735
2024-10-16,Wednesday,1,down_sweep,Q2,3.0,0.0,True,False,45.0,65.0,False,-0.0646551724137863
2024-10-17,Thursday,1,up_sweep,Q2,4.0,0.0,True,False,25.0,70.0,False,-0.26345083487940174
2024-10-20,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-10-21,Monday,1,up_sweep,Q1,1.0,0.0,True,False,5.0,65.0,True,-0.06054279749475931
2024-10-22,Tuesday,1,up_sweep,Q2,0.0,1.0,False,True,60.0,15.0,True,0.06938775510204674
2024-10-23,Wednesday,1,up_sweep,Q3,0.0,2.0,False,True,80.0,10.0,True,0.1428571428571154
2024-10-24,Thursday,1,up_sweep,Q1,1.0,0.0,True,False,15.0,50.0,True,-0.09558823529409403
2024-10-27,Sunday,1,down_sweep,Q4,,,,,,,False,
2024-10-28,Monday,1,down_sweep,Q2,1.0,0.0,True,False,40.0,0.0,True,-0.09604519774011229
2024-10-29,Tuesday,1,down_sweep,Q1,0.0,1.0,False,True,30.0,60.0,False,0.18401937046001887
2024-10-30,Wednesday,2,up_sweep,Q4,1.0,0.0,True,False,95.0,75.0,False,-0.23679060665360974
2024-10-31,Thursday,1,down_sweep,Q3,0.0,1.0,False,True,75.0,65.0,False,0.00952380952381909
2024-11-03,Sunday,1,up_sweep,Q4,,,,,,,False,
2024-11-04,Monday,1,up_sweep,Q1,0.0,1.0,False,True,15.0,35.0,True,0.08454810495630861
2024-11-05,Tuesday,1,down_sweep,Q4,0.0,2.0,False,True,100.0,80.0,False,1.443736730360919
2024-11-06,Wednesday,1,up_sweep,Q4,1.0,0.0,True,False,95.0,100.0,False,-0.24328859060404828
2024-11-07,Thursday,1,down_sweep,Q4,2.0,0.0,True,False,90.0,95.0,False,-0.20934256055365583
2024-11-10,Sunday,2,down_sweep,Q4,,,,,,,False,
2024-11-11,Monday,1,down_sweep,Q4,0.0,1.0,False,True,85.0,30.0,False,0.19377162629761402
2024-11-12,Tuesday,1,down_sweep,Q4,0.0,2.0,False,True,85.0,30.0,False,0.059190031152617804
2024-11-13,Wednesday,1,down_sweep,Q4,0.0,3.0,False,True,80.0,100.0,False,0.046747967479688415
2024-11-14,Thursday,1,up_sweep,Q4,1.0,0.0,True,False,80.0,95.0,False,-0.16572237960338798
2024-11-17,Sunday,3,up_sweep,Q4,,,,,,,False,
2024-11-18,Monday,1,down_sweep,Q3,1.0,0.0,True,False,50.0,75.0,False,-0.2074766355140096
2024-11-19,Tuesday,1,down_sweep,Q4,0.0,1.0,False,True,60.0,35.0,False,0.24507042253519454
