name,n,breakout_rate,fakeout_rate
baseline,203,0.7586206896551724,0.24137931034482762
contain_streak>=3,17,0.5294117647058824,0.47058823529411764
resolve_streak>=3,4,0.5,0.5
contain>=3 & early,15,0.6,0.4
resolve>=3 & late,1,0.0,1.0
contain>=3 & up_sweep,7,0.5714285714285714,0.4285714285714286
resolve>=3 & down_sweep,1,0.0,1.0
