trading_day_id,dow,side,asia_quartile,tp_mode,tp_pips,rr_fixed,entry_time,entry_price,stop_price,take_profit,exit_time,exit_price,exit_reason,r_multiple,mfe_R,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2018-01-03,Thursday,up_sweep,Q1,auto,17.599999999999,1.5,2018-01-04 01:00:00,1.20181,1.2006366666666668,1.20357,2018-01-04 01:36:00,1.20357,TP,1.5,1.6874999999999856,2.0,0.0,True,False
2018-01-04,Friday,down_sweep,Q3,auto,19.6499999999995,1.5,2018-01-05 01:45:00,1.20643,1.2077399999999998,1.204465,2018-01-05 03:59:00,1.20527,time,0.8854961832059979,1.015267175572416,3.0,0.0,True,False
2018-01-25,Friday,up_sweep,Q4,auto,20.599999999999,1.5,2018-01-26 01:04:00,1.24382,1.2424466666666667,1.2458799999999999,2018-01-26 02:06:00,1.2458799999999999,TP,1.5,4.026699029126434,2.0,0.0,True,False
2018-01-30,Wednesday,up_sweep,Q4,auto,20.599999999999,1.5,2018-01-31 03:51:00,1.24274,1.2413666666666667,1.2448,2018-01-31 03:59:00,1.24371,time,0.7063106796117848,0.7063106796117848,2.0,0.0,True,False
2018-01-31,Thursday,down_sweep,Q4,auto,20.599999999999,1.5,2018-02-01 01:35:00,1.24015,1.2415233333333333,1.2380900000000001,2018-02-01 03:07:00,1.2415233333333333,SL,-1.0,1.1796116504856229,3.0,0.0,True,False
2018-02-01,Friday,down_sweep,Q4,auto,20.599999999999,1.5,2018-02-02 01:00:00,1.2491,1.2504733333333333,1.2470400000000001,2018-02-02 02:02:00,1.2504733333333333,SL,-1.0,0.40048543689326005,4.0,0.0,True,False
2018-02-07,Thursday,up_sweep,Q3,auto,19.6499999999995,1.5,2018-02-08 01:05:00,1.2282,1.22689,1.230165,2018-02-08 01:38:00,1.22689,SL,-1.0,0.9618320610687563,2.0,0.0,True,False
2018-02-08,Friday,up_sweep,Q3,auto,19.6499999999995,1.5,2018-02-09 01:34:00,1.22663,1.2253200000000002,1.228595,2018-02-09 02:58:00,1.228595,TP,1.5,1.5648854961831582,3.0,0.0,True,False
2018-02-20,Wednesday,down_sweep,Q3,auto,19.6499999999995,1.5,2018-02-21 01:09:00,1.2326,1.2339099999999998,1.230635,2018-02-21 02:05:00,1.2339099999999998,SL,-1.0,1.4122137404579802,2.0,0.0,True,False
2018-03-13,Wednesday,up_sweep,Q1,auto,17.599999999999,1.5,2018-03-14 02:03:00,1.24013,1.2389566666666667,1.24189,2018-03-14 03:19:00,1.2389566666666667,SL,-1.0,0.3664772727274235,2.0,0.0,True,False
2018-03-15,Friday,up_sweep,Q1,auto,17.599999999999,1.5,2018-03-16 01:00:00,1.23103,1.2298566666666668,1.23279,2018-03-16 03:59:00,1.23181,time,0.6647727272727675,1.2357954545454832,4.0,0.0,True,False
2018-03-29,Friday,up_sweep,Q3,auto,19.6499999999995,1.5,2018-03-30 01:01:00,1.23112,1.22981,1.233085,2018-03-30 03:59:00,1.23227,time,0.8778625954198577,0.8778625954198577,2.0,0.0,True,False
2018-04-03,Wednesday,up_sweep,Q2,auto,19.099999999999998,1.5,2018-04-04 01:09:00,1.22809,1.2268166666666667,1.23,2018-04-04 02:24:00,1.2268166666666667,SL,-1.0,1.0837696335079783,2.0,0.0,True,False
2018-04-04,Thursday,down_sweep,Q1,auto,17.599999999999,1.5,2018-04-05 01:00:00,1.22761,1.2287833333333333,1.22585,2018-04-05 02:43:00,1.22585,TP,1.5,2.326704545454781,3.0,0.0,True,False
2018-04-05,Friday,down_sweep,Q3,auto,19.6499999999995,1.5,2018-04-06 01:00:00,1.2238,1.22511,1.221835,2018-04-06 03:28:00,1.221835,TP,1.5,1.7557251908397153,4.0,0.0,True,False
2018-04-10,Wednesday,up_sweep,Q1,auto,17.599999999999,1.5,2018-04-11 01:12:00,1.23667,1.2354966666666667,1.23843,2018-04-11 03:25:00,1.23843,TP,1.5,1.7471590909092816,2.0,0.0,True,False
2018-04-11,Thursday,down_sweep,Q2,auto,19.099999999999998,1.5,2018-04-12 02:21:00,1.23663,1.2379033333333331,1.2347199999999998,2018-04-12 03:59:00,1.23689,time,-0.2041884816755097,0.5261780104711637,3.0,0.0,True,False
2018-04-12,Friday,down_sweep,Q1,auto,17.599999999999,1.5,2018-04-13 02:02:00,1.23234,1.2335133333333332,1.23058,2018-04-13 03:31:00,1.2335133333333332,SL,-1.0,0.5369318181817706,4.0,0.0,True,False
2018-04-24,Wednesday,down_sweep,Q3,auto,19.6499999999995,1.5,2018-04-25 01:00:00,1.22155,1.2228599999999998,1.219585,2018-04-25 03:18:00,1.219585,TP,1.5,2.1145038167939,2.0,0.0,True,False
2018-05-01,Wednesday,up_sweep,Q2,auto,19.099999999999998,1.5,2018-05-02 01:00:00,1.20027,1.1989966666666667,1.20218,2018-05-02 02:12:00,1.1989966666666667,SL,-1.0,2.246073298429386,2.0,0.0,True,False
2018-05-02,Thursday,up_sweep,Q4,auto,20.599999999999,1.5,2018-05-03 03:04:00,1.197,1.1956266666666668,1.19906,2018-05-03 03:25:00,1.19906,TP,1.5,2.8106796116506034,3.0,0.0,True,False
