trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2023-01-11,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2023-02-08,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2023-03-22,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2023-03-30,Friday,1,down_sweep,Q3,3.0,0.0,True,False
2023-05-17,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2023-05-18,Friday,1,down_sweep,Q1,4.0,0.0,True,False
2023-06-01,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2023-06-14,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2023-06-28,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2023-07-20,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2023-07-27,Friday,1,down_sweep,Q1,3.0,0.0,True,False
2023-09-06,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2023-10-05,Friday,1,down_sweep,Q1,3.0,0.0,True,False
2023-10-18,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2023-10-19,Friday,1,down_sweep,Q3,4.0,0.0,True,False
2023-11-15,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2023-12-06,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2023-12-07,Friday,1,down_sweep,Q3,4.0,0.0,True,False
2023-12-20,Thursday,1,up_sweep,Q3,3.0,0.0,True,False
2023-12-28,Friday,1,down_sweep,Q4,3.0,0.0,True,False
