range_group,sweeps,breakout_rate,avg_asia_range
Q1 (tightest),69,0.7246376811594203,0.0005755072463768232
Q2,61,0.6721311475409836,0.0007886885245901618
Q3,64,0.703125,0.001000156249999988
Q4 (widest),65,0.6923076923076923,0.0018278461538461653
