trading_day_id,dow,side,asia_quartile,tp_mode,tp_pips,rr_fixed,entry_time,entry_price,stop_price,take_profit,exit_time,exit_price,exit_reason,r_multiple,mfe_R,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2020-01-07,Wednesday,down_sweep,Q3,auto,19.4,1.5,2020-01-08 01:08:00,1.11507,1.1163633333333334,1.11313,2020-01-08 03:18:00,1.11313,TP,1.5,1.5927835051546013,2.0,0.0,True,False
2020-01-09,Friday,up_sweep,Q1,auto,13.45,1.5,2020-01-10 01:06:00,1.11095,1.1100533333333333,1.112295,2020-01-10 03:30:00,1.1100533333333333,SL,-1.0,0.16728624535301762,4.0,0.0,True,False
2020-01-14,Wednesday,up_sweep,Q1,auto,13.45,1.5,2020-01-15 01:00:00,1.1133,1.1124033333333332,1.1146449999999999,2020-01-15 03:06:00,1.1124033333333332,SL,-1.0,0.42379182156139067,2.0,0.0,True,False
2020-01-15,Thursday,down_sweep,Q1,auto,13.45,1.5,2020-01-16 01:57:00,1.11498,1.1158766666666668,1.1136350000000002,2020-01-16 03:31:00,1.1158766666666668,SL,-1.0,0.5241635687734488,3.0,0.0,True,False
2020-01-16,Friday,up_sweep,Q1,auto,13.45,1.5,2020-01-17 01:42:00,1.11396,1.1130633333333333,1.115305,2020-01-17 03:59:00,1.11355,time,-0.45724907063199416,0.16728624535301762,4.0,0.0,True,False
2020-01-30,Friday,down_sweep,Q1,auto,13.45,1.5,2020-01-31 02:30:00,1.10249,1.1033866666666667,1.101145,2020-01-31 03:59:00,1.10214,time,0.3903345724907871,0.3903345724907871,2.0,0.0,True,False
2020-02-04,Wednesday,down_sweep,Q1,auto,13.45,1.5,2020-02-05 01:00:00,1.10377,1.1046666666666667,1.102425,2020-02-05 03:24:00,1.1046666666666667,SL,-1.0,0.356877323419936,2.0,0.0,True,False
2020-02-05,Thursday,up_sweep,Q1,auto,13.45,1.5,2020-02-06 01:53:00,1.10013,1.0992333333333333,1.101475,2020-02-06 03:59:00,1.09955,time,-0.6468401486989126,1.3940520446096356,3.0,0.0,True,False
2020-02-06,Friday,down_sweep,Q1,auto,13.45,1.5,2020-02-07 01:58:00,1.09774,1.0986366666666667,1.096395,2020-02-07 03:08:00,1.096395,TP,1.5,2.319702602230327,4.0,0.0,True,False
2020-02-11,Wednesday,down_sweep,Q1,auto,13.45,1.5,2020-02-12 01:00:00,1.09091,1.0918066666666668,1.0895650000000001,2020-02-12 03:15:00,1.0918066666666668,SL,-1.0,1.3271375464684285,2.0,0.0,True,False
2020-02-12,Thursday,down_sweep,Q1,auto,13.45,1.5,2020-02-13 01:08:00,1.08708,1.0879766666666668,1.0857350000000001,2020-02-13 03:02:00,1.0879766666666668,SL,-1.0,0.14498141263936445,3.0,0.0,True,False
2020-03-03,Wednesday,down_sweep,Q3,auto,19.4,1.5,2020-03-04 03:00:00,1.11608,1.1173733333333333,1.11414,2020-03-04 03:26:00,1.1173733333333333,SL,-1.0,0.177835051546355,2.0,0.0,True,False
2020-03-04,Thursday,down_sweep,Q1,auto,13.45,1.5,2020-03-05 01:53:00,1.11316,1.1140566666666667,1.111815,2020-03-05 03:59:00,1.11371,time,-0.613382899628309,1.3494423791820818,3.0,0.0,True,False
2020-03-12,Friday,up_sweep,Q4,auto,22.049999999998498,1.5,2020-03-13 01:21:00,1.11925,1.1177800000000002,1.1214549999999999,2020-03-13 02:23:00,1.1177800000000002,SL,-1.0,1.4625850340136195,3.0,0.0,True,False
