week,days,mean_pips,std_pips,var_pips,p25_pips,median_pips,p75_pips,cv,roll_var_mean,roll_var_std,z_var,regime,var_diff,z_diff,trend,regime_prev,transition,w_q4,w_q1,w_q2,w_fade_bias
2021-12-27,1,25.699999999999612,0.0,0.0,25.699999999999612,25.699999999999612,25.699999999999612,0.0,,,,Neutral,,,flat,,True,0.6,0.4,0.2,0.3
2022-01-03,5,10.399999999999743,2.5278449319532177,6.390000000001567,8.299999999998864,10.799999999999699,11.699999999998933,0.2430620126878154,,,,Neutral,6.390000000001567,,flat,Neutral,False,0.6,0.4,0.2,0.3
2022-01-10,5,12.719999999999843,2.809270367907237,7.892000000001663,11.700000000001154,12.300000000000644,13.299999999998313,0.22085458867195532,,,,Neutral,1.5020000000000957,,flat,Neutral,False,0.6,0.4,0.2,0.3
2022-01-17,5,14.300000000000423,5.428167278188768,29.464999999999257,11.000000000001009,12.900000000000134,16.700000000000603,0.3795921173558467,10.936750000000622,11.100134985102073,1.669191412975259,Expanding,21.572999999997595,,flat,Neutral,True,1.0,0.4,0.1,0.1
2022-01-24,5,9.859999999999758,3.768023354492574,14.198000000001468,7.800000000000029,10.200000000000209,12.900000000000134,0.38215247002968217,11.589000000000791,10.013596636573219,0.2605457454189517,Neutral,-15.26699999999779,-1.4086456675563073,falling,Expanding,True,0.6,0.4,0.2,0.3
2022-01-31,5,12.859999999999872,6.3622323126395575,40.47799999999489,8.599999999998609,9.399999999999409,16.700000000000603,0.4947303509051027,16.403833333333143,14.123498084356923,1.7045470267260567,Expanding,26.279999999993425,1.444001281307105,rising,Neutral,True,1.0,0.4,0.1,0.1
2022-02-07,5,15.499999999999847,6.566582063753417,43.12000000000808,11.399999999999189,13.199999999999878,17.000000000000348,0.4236504557260311,20.22042857142956,16.07406054004105,1.4246289151104592,Expanding,2.6420000000131907,-0.27991811161559754,falling,Expanding,False,1.0,0.4,0.1,0.1
2022-02-14,5,18.160000000000842,14.995432637973616,224.86300000000435,10.900000000000354,11.400000000001409,13.400000000001189,0.82573968270776,45.800750000001415,69.32927523916327,2.5827797763974436,Expanding,181.74299999999627,1.1581508612869844,rising,Expanding,False,1.0,0.4,0.1,0.1
2022-02-21,5,23.439999999999905,10.799212934283826,116.62300000000309,20.199999999999108,22.999999999999687,31.09999999999946,0.4607172753534074,53.66988888889048,69.04979540953708,0.9117059759226686,Expanding,-108.24000000000126,-1.6710738004747752,falling,Expanding,False,1.0,0.4,0.1,0.1
2022-02-28,5,33.500000000000085,24.328172968802914,591.8599999999929,13.900000000000023,21.100000000000563,56.499999999999325,0.7262141184717269,107.48890000000071,174.23966378034967,2.7799129629324866,Expanding,475.23699999998973,1.8682069870098181,rising,Expanding,False,1.0,0.4,0.1,0.1
2022-03-07,5,30.020000000000824,6.043343445477983,36.5220000000017,24.900000000001032,31.400000000001427,32.00000000000092,0.20131057446628303,101.03736363636445,167.37900913863348,-0.38544476973768677,Neutral,-555.3379999999911,-3.165357732670173,falling,Expanding,True,0.6,0.4,0.2,0.3
2022-03-14,5,23.320000000000004,8.456772433972706,71.51700000000064,17.000000000000348,18.199999999999328,32.2,0.3626403273573201,98.57733333333412,160.46076638404466,-0.16864143144229815,Neutral,34.99499999999894,0.21680333829538861,rising,Neutral,False,0.6,0.4,0.2,0.3
2022-03-21,5,25.739999999999874,10.795276744947065,116.5379999999949,17.20000000000166,31.599999999998296,32.2,0.4193969209381165,108.2888333333337,157.70363203798323,0.052308032225119386,Neutral,45.02099999999426,0.22094946366741752,rising,Neutral,False,0.6,0.4,0.2,0.3
2022-03-28,5,17.100000000000115,7.274613391789464,52.92000000000261,12.799999999999478,15.000000000000568,18.800000000001038,0.4254159878239424,112.1663333333338,155.70997133845222,-0.3804915820358927,Neutral,-63.617999999992286,-0.43279961426101204,falling,Neutral,False,0.6,0.4,0.2,0.3
2022-04-04,5,14.380000000000058,3.255303365280453,10.597000000006242,13.600000000000279,14.100000000001334,17.000000000000348,0.22637714640336856,112.39175000000084,155.560739803954,-0.6543730129355376,Neutral,-42.32299999999637,-0.27388143089964495,falling,Neutral,False,0.6,0.4,0.2,0.3
