trading_day_id,asia_high,asia_low,asia_range,asia_range_pips
2019-01-01,1.14626,1.14457,0.0016899999999999693,16.899999999999693
2019-01-02,1.13525,1.13099,0.0042600000000001526,42.60000000000152
2019-01-03,1.14118,1.13893,0.0022500000000000853,22.500000000000853
2019-01-06,1.14229,1.14046,0.0018299999999999983,18.299999999999983
2019-01-07,1.14844,1.1447,0.0037399999999998546,37.39999999999854
2019-01-08,1.1466,1.14537,0.0012300000000000644,12.300000000000644
2019-01-09,1.15607,1.15433,0.0017399999999998528,17.399999999998528
2019-01-10,1.15227,1.15058,0.0016899999999999693,16.899999999999693
2019-01-13,1.14772,1.14596,0.0017599999999999838,17.599999999999838
2019-01-14,1.14896,1.14714,0.0018199999999999328,18.199999999999328
2019-01-15,1.14142,1.13966,0.0017600000000002058,17.60000000000206
2019-01-16,1.14005,1.1394,0.0006500000000000394,6.500000000000394
2019-01-17,1.13997,1.13881,0.0011599999999998278,11.599999999998278
2019-01-20,1.13773,1.13647,0.0012599999999998168,12.599999999998168
2019-01-21,1.13728,1.13665,0.0006300000000001305,6.300000000001305
2019-01-22,1.13676,1.13601,0.0007500000000000284,7.500000000000284
2019-01-23,1.13913,1.13828,0.0008500000000000174,8.500000000000174
2019-01-24,1.13148,1.13049,0.0009900000000000464,9.900000000000464
2019-01-27,1.14187,1.14109,0.0007800000000000029,7.800000000000029
2019-01-28,1.14339,1.14203,0.0013599999999998058,13.599999999998058
2019-01-29,1.14411,1.1428,0.0013099999999999223,13.099999999999223
2019-01-30,1.14956,1.14842,0.0011399999999999189,11.399999999999189
2019-01-31,1.14499,1.14377,0.0012199999999999989,12.199999999999989
2019-02-03,1.14597,1.14529,0.0006800000000000139,6.800000000000139
2019-02-04,1.14395,1.14328,0.0006699999999999484,6.699999999999484
2019-02-05,1.14091,1.13977,0.001140000000000141,11.400000000001409
2019-02-06,1.13675,1.13592,0.0008299999999998864,8.299999999998864
2019-02-07,1.13409,1.13352,0.0005699999999999594,5.699999999999594
2019-02-10,1.13276,1.13227,0.0004899999999998794,4.899999999998794
2019-02-11,1.12827,1.12723,0.001040000000000152,10.40000000000152
2019-02-12,1.13364,1.1327,0.0009399999999999409,9.399999999999409
2019-02-13,1.12696,1.12607,0.0008900000000000574,8.900000000000574
2019-02-14,1.12969,1.12855,0.001140000000000141,11.400000000001409
2019-02-17,1.13115,1.12937,0.0017800000000001148,17.80000000000115
2019-02-18,1.13138,1.13023,0.0011499999999999844,11.499999999999844
2019-02-19,1.13559,1.13395,0.0016400000000000858,16.40000000000086
2019-02-20,1.13481,1.13325,0.0015600000000000058,15.600000000000058
2019-02-21,1.13416,1.13322,0.0009400000000001629,9.40000000000163
2019-02-24,1.13492,1.13379,0.0011299999999998533,11.299999999998533
2019-02-25,1.13652,1.13541,0.0011099999999999444,11.099999999999444
2019-02-26,1.13957,1.13819,0.0013799999999999368,13.799999999999368
2019-02-27,1.138,1.137,0.0009999999999998899,9.999999999998899
2019-02-28,1.13751,1.13686,0.0006500000000000394,6.500000000000394
2019-03-03,1.1375,1.13667,0.0008299999999998864,8.299999999998864
2019-03-04,1.13378,1.13325,0.0005299999999999194,5.299999999999194
2019-03-05,1.13071,1.12978,0.0009300000000000974,9.300000000000974
2019-03-06,1.13156,1.13082,0.0007399999999999629,7.399999999999629
2019-03-07,1.11981,1.11852,0.0012900000000000134,12.900000000000134
2019-03-10,1.12322,1.12229,0.0009300000000000974,9.300000000000974
2019-03-11,1.12632,1.12554,0.0007800000000000029,7.800000000000029
2019-03-12,1.12901,1.12861,0.000400000000000178,4.00000000000178
2019-03-13,1.1333,1.13231,0.0009900000000000464,9.900000000000464
2019-03-14,1.13124,1.1304,0.0008399999999999519,8.399999999999519
2019-03-17,1.13264,1.13192,0.0007200000000000539,7.200000000000539
2019-03-18,1.13418,1.13336,0.0008200000000000429,8.20000000000043
2019-03-19,1.1357,1.13428,0.0014199999999999768,14.199999999999768
2019-03-20,1.14373,1.14244,0.0012900000000000134,12.900000000000134
2019-03-21,1.13761,1.13612,0.0014899999999999913,14.899999999999913
2019-03-24,1.12966,1.12889,0.0007700000000001594,7.7000000000015945
2019-03-25,1.13219,1.13128,0.0009099999999999664,9.099999999999664
2019-03-26,1.12743,1.12549,0.0019399999999998307,19.399999999998307
2019-03-27,1.12541,1.12432,0.0010900000000000354,10.900000000000354
2019-03-28,1.12349,1.12247,0.0010200000000000209,10.200000000000209
2019-03-31,1.12282,1.12211,0.0007099999999999884,7.099999999999884
2019-04-01,1.12086,1.12045,0.00041000000000002146,4.100000000000215
2019-04-02,1.12171,1.12019,0.0015199999999999658,15.199999999999658
2019-04-03,1.12474,1.12417,0.0005700000000001815,5.700000000001815
2019-04-04,1.12289,1.12193,0.0009599999999998499,9.599999999998499
2019-04-07,1.12215,1.12149,0.0006599999999998829,6.599999999998829
2019-04-08,1.12633,1.12554,0.0007900000000000684,7.900000000000684
2019-04-09,1.12673,1.12574,0.0009900000000000464,9.900000000000464
2019-04-10,1.12794,1.12727,0.0006699999999999484,6.699999999999484
2019-04-11,1.12917,1.12572,0.003449999999999953,34.49999999999953
2019-04-14,1.13072,1.13016,0.0005599999999998939,5.599999999998939
2019-04-15,1.13073,1.1302,0.0005299999999999194,5.299999999999194
2019-04-16,1.12869,1.12812,0.0005699999999999594,5.699999999999594
2019-04-17,1.12991,1.12943,0.00048000000000003595,4.8000000000003595
2019-04-18,1.12404,1.12343,0.0006099999999999994,6.099999999999994
2019-04-21,1.12453,1.12418,0.0003500000000000725,3.5000000000007248
2019-04-22,1.12605,1.12446,0.0015899999999999803,15.899999999999803
2019-04-23,1.12244,1.12169,0.0007500000000000284,7.500000000000284
2019-04-24,1.11576,1.11451,0.0012500000000001954,12.500000000001954
2019-04-25,1.11392,1.11241,0.0015100000000001224,15.100000000001224
2019-04-28,1.11516,1.11472,0.00043999999999999595,4.3999999999999595
2019-04-29,1.11912,1.11827,0.0008499999999997954,8.499999999997954
2019-04-30,1.12183,1.12111,0.0007200000000000539,7.200000000000539
2019-05-01,1.12063,1.11995,0.0006800000000000139,6.800000000000139
2019-05-02,1.11776,1.11703,0.0007300000000001194,7.300000000001194
2019-05-05,1.11987,1.11805,0.0018199999999999328,18.199999999999328
2019-05-06,1.12031,1.11978,0.0005299999999999194,5.299999999999194
2019-05-07,1.1193,1.11884,0.00045999999999990493,4.599999999999049
2019-05-08,1.11985,1.11909,0.0007600000000000939,7.600000000000939
2019-05-09,1.12302,1.12174,0.0012799999999999478,12.799999999999478
2019-05-12,1.12389,1.12309,0.0008000000000001339,8.00000000000134
2019-05-13,1.12366,1.12282,0.0008400000000001739,8.40000000000174
2019-05-14,1.12074,1.12007,0.0006700000000001705,6.700000000001705
2019-05-15,1.12088,1.12038,0.000500000000000167,5.00000000000167
2019-05-16,1.11761,1.11704,0.0005699999999999594,5.699999999999594
2019-05-19,1.11654,1.11592,0.0006200000000000649,6.200000000000649
2019-05-20,1.11722,1.11644,0.0007800000000000029,7.800000000000029
2019-05-21,1.1166,1.11606,0.0005399999999999849,5.399999999999849
2019-05-22,1.1157,1.11516,0.0005399999999999849,5.399999999999849
2019-05-23,1.11852,1.11771,0.0008099999999999774,8.099999999999774
2019-05-27,1.11962,1.11914,0.00048000000000003595,4.8000000000003595
2019-05-28,1.11724,1.11641,0.0008300000000001084,8.300000000001084
2019-05-29,1.11427,1.11345,0.0008200000000000429,8.20000000000043
2019-05-30,1.11402,1.1129,0.0011200000000000099,11.200000000000099
2019-06-02,1.1182,1.11705,0.0011499999999999844,11.499999999999844
2019-06-03,1.12551,1.1244,0.0011099999999999444,11.099999999999444
2019-06-04,1.12613,1.1252,0.0009300000000000974,9.300000000000974
2019-06-05,1.12322,1.12265,0.0005700000000001815,5.700000000001815
2019-06-06,1.12791,1.12722,0.0006899999999998574,6.899999999998574
2019-06-09,1.13242,1.13143,0.0009900000000000464,9.900000000000464
2019-06-10,1.13184,1.13088,0.0009599999999998499,9.599999999998499
2019-06-11,1.1332,1.13261,0.0005900000000000905,5.9000000000009045
2019-06-12,1.12955,1.12904,0.0005100000000000104,5.1000000000001044
2019-06-13,1.12822,1.12774,0.00048000000000003595,4.8000000000003595
2019-06-16,1.12217,1.1214,0.0007699999999999374,7.699999999999374
2019-06-17,1.12261,1.12208,0.0005300000000001415,5.300000000001415
2019-06-18,1.12023,1.11951,0.0007200000000000539,7.200000000000539
2019-06-19,1.12581,1.12343,0.0023800000000000487,23.800000000000487
2019-06-20,1.12987,1.12888,0.0009899999999998244,9.899999999998244
2019-06-23,1.13862,1.13711,0.0015099999999999003,15.099999999999003
2019-06-24,1.14062,1.13962,0.0009999999999998899,9.999999999998899
2019-06-25,1.13722,1.13603,0.0011899999999998023,11.899999999998023
2019-06-26,1.13748,1.13689,0.0005900000000000905,5.9000000000009045
2019-06-27,1.13763,1.13675,0.0008799999999999919,8.799999999999919
2019-06-30,1.1371,1.13538,0.0017199999999999438,17.199999999999438
2019-07-01,1.12893,1.12833,0.0005999999999999339,5.999999999999339
2019-07-02,1.12942,1.12868,0.000740000000000185,7.4000000000018495
2019-07-03,1.1289,1.12847,0.00042999999999993044,4.299999999999304
2019-07-04,1.12867,1.12795,0.0007200000000000539,7.200000000000539
2019-07-07,1.12297,1.12196,0.0010099999999999554,10.099999999999554
2019-07-08,1.12187,1.12133,0.0005399999999999849,5.399999999999849
2019-07-09,1.12064,1.12018,0.000460000000000127,4.60000000000127
