week,days,mean_pips,std_pips,var_pips,p25_pips,median_pips,p75_pips,cv,roll_var_mean,roll_var_std,z_var,regime,var_diff,z_diff,trend,regime_prev,transition,w_q4,w_q1,w_q2,w_fade_bias
2018-12-31,4,25.075000000000514,11.92319168679335,142.16250000001807,17.94999999999991,20.400000000000418,27.52500000000102,0.47550116397978487,,,,Neutral,,,flat,,True,0.6,0.4,0.2,0.3
2019-01-07,5,20.319999999999446,9.793722479220445,95.91699999998785,16.899999999999693,17.399999999998528,17.599999999999838,0.48197453145771224,,,,Neutral,-46.24550000003022,,flat,Neutral,False,0.6,0.4,0.2,0.3
2019-01-14,5,13.299999999999645,4.798958220281101,23.030000000003547,11.599999999998278,12.599999999998168,17.60000000000206,0.3608239263369345,,,,Neutral,-72.88699999998431,,flat,Neutral,False,0.6,0.4,0.2,0.3
2019-01-21,5,8.000000000000451,1.3266499161418968,1.7599999999993017,7.500000000000284,7.800000000000029,8.500000000000174,0.16583123951772774,65.71737500000219,56.27750946801331,-1.136464203988178,Compressing,-21.270000000004245,,flat,Neutral,True,0.3,0.8,0.2,0.6
2019-01-28,5,11.41999999999932,2.716983621591583,7.381999999996913,11.399999999999189,12.199999999999989,13.099999999999223,0.23791450276635245,54.050300000001144,55.481609689702225,-0.8411489908279679,Compressing,5.621999999997612,0.29531521316021014,rising,Compressing,False,0.3,0.8,0.2,0.6
2019-02-04,5,7.399999999999629,2.5709920264373323,6.610000000004341,5.699999999999594,6.699999999999484,8.299999999998864,0.34743135492398125,46.14358333333501,53.64471101952547,-0.7369521166577137,Neutral,-0.7719999999925724,0.10419687417025425,rising,Compressing,True,0.6,0.4,0.2,0.3
2019-02-11,5,11.580000000000812,3.6072149922069277,13.012000000002425,9.399999999999409,10.40000000000152,11.400000000001409,0.31150388533736395,41.410500000001775,51.00058457858527,-0.5568269508017296,Neutral,6.401999999998084,0.18012516585598404,rising,Neutral,False,0.6,0.4,0.2,0.3
2019-02-18,5,12.840000000000185,3.012142094921825,9.073000000000041,11.299999999998533,11.499999999999844,15.600000000000058,0.23459050583502972,37.36831250000156,48.89071621927681,-0.5787461237650091,Neutral,-3.939000000002384,-0.0219191729632795,falling,Neutral,False,0.6,0.4,0.2,0.3
2019-02-25,5,9.939999999999394,2.773625785862015,7.692999999998682,8.299999999998864,9.999999999998899,11.099999999999444,0.2790367993825135,34.071055555556796,47.02858953306367,-0.5608940395078805,Neutral,-1.3800000000013597,0.017852084257128586,rising,Neutral,False,0.6,0.4,0.2,0.3
2019-03-04,5,8.840000000000181,2.806777511667502,7.878000000002413,7.399999999999629,9.300000000000974,9.300000000000974,0.3175087682881725,31.451750000001358,45.301945482095135,-0.520369484116661,Neutral,0.18500000000373173,0.040524555391219574,rising,Neutral,False,0.6,0.4,0.2,0.3
